epoch,train_loss,train_error,validation_error,lr, vf0
1.00000,0.76440,0.76440,0.62095,0.10000,0.99177
2.00000,0.36749,0.36749,0.25981,0.10000,0.74706
3.00000,0.21316,0.21316,0.17025,0.10000,0.75465
4.00000,0.11657,0.11657,0.12943,0.10000,0.79734
5.00000,0.08326,0.08326,0.06620,0.10000,0.72197
6.00000,0.04524,0.04524,0.04794,0.10000,0.71607
7.00000,0.03489,0.03489,0.04343,0.10000,0.70460
8.00000,0.02690,0.02690,0.02517,0.10000,0.70450
9.00000,0.02115,0.02115,0.02795,0.10000,0.70442
10.00000,0.02501,0.02501,0.05002,0.10000,0.72126
11.00000,0.05235,0.05235,0.04507,0.08000,0.70830
12.00000,0.03213,0.03213,0.02123,0.06400,0.70738
13.00000,0.01628,0.01628,0.00935,0.06400,0.70297
14.00000,0.01083,0.01083,0.01383,0.06400,0.69829
15.00000,0.01325,0.01325,0.02289,0.06400,0.70300
16.00000,0.01905,0.01905,0.03510,0.05120,0.69865
17.00000,0.01897,0.01897,0.01138,0.04096,0.70260
18.00000,0.00824,0.00824,0.00689,0.04096,0.70067
19.00000,0.00628,0.00628,0.00800,0.04096,0.69660
20.00000,0.00762,0.00762,0.01153,0.04096,0.69863
21.00000,0.00566,0.00566,0.00500,0.03277,0.69873
22.00000,0.00462,0.00462,0.00434,0.03277,0.70081
23.00000,0.00443,0.00443,0.00439,0.03277,0.70186
24.00000,0.00458,0.00458,0.00453,0.03277,0.69994
25.00000,0.00528,0.00528,0.00692,0.02621,0.69958
26.00000,0.00450,0.00450,0.00300,0.02097,0.69939
27.00000,0.00327,0.00327,0.00376,0.02097,0.69971
28.00000,0.00388,0.00388,0.00468,0.02097,0.70000
29.00000,0.00314,0.00314,0.00295,0.01678,0.70091
30.00000,0.00252,0.00252,0.00308,0.01678,0.70008
31.00000,0.00248,0.00248,0.00229,0.01678,0.69946
32.00000,0.00300,0.00300,0.00250,0.01678,0.70062
33.00000,0.00482,0.00482,0.00912,0.01342,0.69915
34.00000,0.00513,0.00513,0.00616,0.01074,0.69963
35.00000,0.00361,0.00361,0.00512,0.00859,0.69932
36.00000,0.00345,0.00345,0.00301,0.00859,0.70007
37.00000,0.00245,0.00245,0.00212,0.00859,0.70081
38.00000,0.00157,0.00157,0.00185,0.00859,0.70038
39.00000,0.00137,0.00137,0.00143,0.00859,0.70026
40.00000,0.00124,0.00124,0.00209,0.00859,0.69986
41.00000,0.00140,0.00140,0.00171,0.00859,0.69959
42.00000,0.00115,0.00115,0.00166,0.00687,0.69944
43.00000,0.00132,0.00132,0.00195,0.00687,0.70023
44.00000,0.00124,0.00124,0.00141,0.00550,0.69980
45.00000,0.00112,0.00112,0.00116,0.00550,0.70009
46.00000,0.00126,0.00126,0.00138,0.00550,0.70000
47.00000,0.00119,0.00119,0.00144,0.00440,0.70019
