Step,e11,e22,e12,s11,s22,s12
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.00016666666294137638,-6.454960652628366e-05,-3.432348301380444e-06,0.02612785052396212,1.7460185028223534e-10,1.267562469934852e-11
2,0.00033333332588275275,-0.00012909921399501757,-6.864696847357901e-06,0.0522557009800403,1.746018556106364e-10,1.2675624449356834e-11
3,0.0004999999888241291,-0.0001936488214637515,-1.0297045393335344e-05,0.07838355143611847,1.7460185429841465e-10,1.2675625649849298e-11
4,0.0006666666517655055,-0.0002664182006913916,-7.234790681558942e-06,0.10197123056029186,3.153082290467768e-10,2.7928105092998607e-11
5,0.000833333314706882,-0.0003604058361182747,-2.450971298296567e-05,0.11832932530067607,1.5716081551207654e-13,-1.8280481556147682e-13
6,0.0009999999776482583,-0.0004993407423767878,-3.569134547970335e-05,0.12270924567853755,1.024808393460753e-13,3.7414090444155584e-14
7,0.0011666666405896347,-0.0006454932564792294,-4.167810909366554e-05,0.1257572877225537,7.401386683127085e-14,2.5379128542388018e-14
8,0.001333333303531011,-0.0007943311134294158,-4.6350838897225356e-05,0.12853223221669396,5.6695754056396614e-14,1.4396600415308064e-14
9,0.0014999999664723873,-0.0009451512508152653,-4.9835831021042046e-05,0.13113459416413886,4.2202002752676877e-14,1.0926390378902215e-14
10,0.001666666629413764,-0.0010974263962285548,-5.231267703946518e-05,0.133629777567959,3.1983465224757775e-14,1.4183349845380893e-14
11,0.0018333332923551402,-0.0012502538281872271,-5.514139915445567e-05,0.13603170069115947,3.4797222448188864e-14,-8.535904111297835e-16
12,0.0019999999552965165,-0.0014035010962531354,-5.832652834641277e-05,0.13837734151876907,3.035898003481088e-14,4.628378674504351e-15
13,0.002166666618237893,-0.0015573304704623468,-6.126157852490827e-05,0.1407008012154758,2.961514455680331e-14,5.8379911686885336e-15
14,0.0023333332811792695,-0.0017116004897092113,-6.400347994824909e-05,0.14301035287173736,2.1327274924556594e-14,5.032517033360801e-15
15,0.0024999999441206455,-0.0018662067258125507,-6.659511973628861e-05,0.14531112073596664,2.147783220019961e-14,3.997820092899869e-15
16,0.002666666607062022,-0.0020210714440146893,-6.906867679566967e-05,0.14760629367244438,1.6384790730877515e-14,5.9076018494793586e-15
17,0.002833333270003399,-0.0021761849036359875,-7.200158882309893e-05,0.1498934022611281,9.700794396046913e-13,1.5663914266855567e-13
18,0.0029999999329447745,-0.0023316841068185927,-7.730937832955173e-05,0.15215821836436322,1.5782180288178273e-13,8.727795757363177e-14
19,0.0031666665958861515,-0.002487307189660964,-8.297105690146644e-05,0.1544203390001629,1.6690418189215642e-13,8.017116647217594e-14
20,0.003333333258827528,-0.0026430313690086805,-8.899443235905373e-05,0.1566801599069461,1.764375327322612e-13,1.0177586176634395e-13
21,0.0034999999217689036,-0.0027988388040313178,-9.538668737587089e-05,0.15893793296151573,1.7841495328789927e-13,8.583704972020821e-14
22,0.0036666665847102805,-0.0029547153900951967,-0.00010215456897647024,0.1611938188428427,1.868469125929733e-13,1.0059612002817387e-13
23,0.0038333332476516565,-0.00311064986625436,-0.00010930444221459411,0.16344792058356605,1.9582242299837456e-13,1.0742692494889509e-13
24,0.003999999910593033,-0.0032666331498622876,-0.00011684225100205966,0.16570030522823576,2.1715673229414895e-13,1.225626693730809e-13
25,0.0041666665735344095,-0.0034226578375677608,-0.00012477341750720926,0.16795101801647958,2.1235726211457645e-13,1.1351026465769842e-13
26,0.004333333236475786,-0.003578717829523145,-0.00013310270393342822,0.17020009181132378,2.228417895683928e-13,1.3232095696878303e-13
27,0.0044999998994171625,-0.0037348080457343894,-0.0001418340556914009,0.17244755345322219,2.310040135257448e-13,1.4563115292830347e-13
28,0.004666666562358539,-0.0038909242118747786,-0.00015097044180203273,0.17469342808109226,2.3655000286993013e-13,1.296024377221541e-13
29,0.0048333332252999146,-0.004047062697769993,-0.00016051370612270841,0.1769377420646313,2.1484229148071933e-13,1.4403095059747195e-13
30,0.004999999888241291,-0.004203220395906343,-0.00017046444097454675,0.17918052494807837,2.47342138140772e-13,1.5623633775794964e-13
31,0.0048999998904764655,-0.004164490631991919,-0.00016840503199656636,0.1635038146336021,-1.0476093816046851e-10,-7.605371145118654e-12
32,0.004799999892711639,-0.00412576086751068,-0.00016634562286897952,0.14782710435995505,-1.0476116119420911e-10,-7.6053720214802e-12
